sido_code,sigungu_code,emd_code,week_type,velocity_AVRG_NRMLT,시도,시군구
11,11240,1124064,weekday,49.41,서울특별시,송파구
11,11110,1111061,weekday,40.64,서울특별시,노원구
11,11070,1107071,weekday,40.36,서울특별시,중랑구
11,11100,1110062,weekday,41.22,서울특별시,도봉구
11,11230,1123051,weekday,52.12,서울특별시,강남구
11,11060,1106083,weekday,39.65,서울특별시,동대문구
11,11120,1112057,weekday,38.89,서울특별시,은평구
11,11030,1103052,weekday,46.13,서울특별시,용산구
11,11200,1120071,weekday,45.29,서울특별시,동작구
11,11080,1108068,weekday,48.2,서울특별시,성북구
11,11080,1108078,weekday,39.93,서울특별시,성북구
11,11030,1103065,weekday,37.91,서울특별시,용산구
11,11190,1119068,weekday,45.96,서울특별시,영등포구
11,11150,1115057,weekday,38.66,서울특별시,양천구
11,11050,1105067,weekday,82.88,서울특별시,광진구
11,11120,1112060,weekday,38.7,서울특별시,은평구
11,11250,1125072,weekday,40.92,서울특별시,강동구
11,11250,1125066,weekday,44.82,서울특별시,강동구
11,11020,1102072,weekday,43.29,서울특별시,중구
11,11230,1123063,weekday,42.39,서울특별시,강남구
23,23060,2306056,weekday,49.65,인천광역시,부평구
23,23060,2306054,weekday,40.35,인천광역시,부평구
23,23010,2301066,weekday,43.28,인천광역시,인천_중구
23,23010,2301056,weekday,40.1,인천광역시,인천_중구
23,23050,2305057,weekday,50.34,인천광역시,남동구
23,23030,2303071,weekday,40.28,인천광역시,남구
23,23070,2307062,weekday,41.79,인천광역시,계양구
23,23010,2301057,weekday,39.57,인천광역시,인천_중구
23,23080,2308053,weekday,45.11,인천광역시,서구
23,23060,2306051,weekday,39.34,인천광역시,부평구
23,23050,2305063,weekday,42.37,인천광역시,남동구
23,23020,2302052,weekday,42.8,인천광역시,동구
23,23310,2331039,weekday,59.24,인천광역시,강화군
23,23030,2303057,weekday,49.07,인천광역시,남구
23,23010,2301063,weekday,56.4,인천광역시,인천_중구
23,23030,2303074,weekday,55.66,인천광역시,남구
23,23030,2303070,weekday,53.77,인천광역시,남구
23,23080,2308063,weekday,43.88,인천광역시,서구
23,23050,2305059,weekday,40.18,인천광역시,남동구
23,23050,2305055,weekday,42.06,인천광역시,남동구
23,23080,2308051,weekday,47.65,인천광역시,서구
23,23020,2302058,weekday,48.87,인천광역시,동구
23,23010,2301065,weekday,56.6,인천광역시,인천_중구
23,23030,2303065,weekday,43.88,인천광역시,남구
23,23010,2301058,weekday,43.65,인천광역시,인천_중구
23,23040,2304064,weekday,43.0,인천광역시,연수구
23,23080,2308058,weekday,46.22,인천광역시,서구
23,23080,2308078,weekday,43.16,인천광역시,서구
23,23310,2331038,weekday,59.66,인천광역시,강화군
23,23040,2304059,weekday,44.16,인천광역시,연수구
23,23050,2305073,weekday,41.9,인천광역시,남동구
23,23310,2331034,weekday,55.7,인천광역시,강화군
23,23060,2306071,weekday,41.64,인천광역시,부평구
23,23010,2301054,weekday,48.02,인천광역시,인천_중구
23,23060,2306064,weekday,43.18,인천광역시,부평구
23,23040,2304054,weekday,40.75,인천광역시,연수구
23,23080,2308069,weekday,45.05,인천광역시,서구
23,23310,2331037,weekday,58.88,인천광역시,강화군
23,23050,2305054,weekday,43.21,인천광역시,남동구
23,23310,2331040,weekday,64.09,인천광역시,강화군
23,23060,2306068,weekday,38.7,인천광역시,부평구
23,23050,2305062,weekday,41.05,인천광역시,남동구
23,23030,2303068,weekday,47.71,인천광역시,남구
23,23040,2304063,weekday,50.82,인천광역시,연수구
23,23060,2306069,weekday,53.99,인천광역시,부평구
23,23020,2302063,weekday,45.21,인천광역시,동구
