sido_code,sigungu_code,emd_code,week_type,velocity_AVRG,시도,시군구
23,23010,2301058,weekday,22.9,인천광역시,인천_중구
23,23040,2304059,weekday,25.38,인천광역시,연수구
23,23080,2308058,weekday,29.01,인천광역시,서구
23,23040,2304064,weekday,28.61,인천광역시,연수구
23,23310,2331038,weekday,54.92,인천광역시,강화군
23,23080,2308078,weekday,26.5,인천광역시,서구
23,23050,2305073,weekday,24.78,인천광역시,남동구
23,23310,2331034,weekday,52.11,인천광역시,강화군
23,23060,2306071,weekday,22.84,인천광역시,부평구
23,23010,2301054,weekday,29.58,인천광역시,인천_중구
23,23060,2306064,weekday,25.75,인천광역시,부평구
23,23040,2304054,weekday,21.54,인천광역시,연수구
23,23080,2308069,weekday,30.92,인천광역시,서구
23,23310,2331037,weekday,53.03,인천광역시,강화군
23,23050,2305054,weekday,24.48,인천광역시,남동구
23,23310,2331040,weekday,58.34,인천광역시,강화군
23,23060,2306068,weekday,23.37,인천광역시,부평구
23,23050,2305062,weekday,17.19,인천광역시,남동구
23,23030,2303068,weekday,25.88,인천광역시,남구
23,23040,2304063,weekday,37.69,인천광역시,연수구
23,23060,2306069,weekday,29.63,인천광역시,부평구
23,23020,2302063,weekday,23.58,인천광역시,동구
23,23080,2308076,weekday,22.95,인천광역시,서구
23,23060,2306070,weekday,23.43,인천광역시,부평구
23,23060,2306055,weekday,20.96,인천광역시,부평구
23,23060,2306063,weekday,25.65,인천광역시,부평구
23,23070,2307056,weekday,22.19,인천광역시,계양구
23,23070,2307057,weekday,21.22,인천광역시,계양구
23,23040,2304060,weekday,27.77,인천광역시,연수구
23,23070,2307053,weekday,22.89,인천광역시,계양구
23,23030,2303069,weekday,22.83,인천광역시,남구
23,23010,2301064,weekday,37.05,인천광역시,인천_중구
23,23030,2303077,weekday,26.93,인천광역시,남구
23,23080,2308059,weekday,25.32,인천광역시,서구
23,23030,2303056,weekday,32.05,인천광역시,남구
23,23040,2304053,weekday,20.4,인천광역시,연수구
23,23030,2303073,weekday,23.15,인천광역시,남구
23,23080,2308071,weekday,24.21,인천광역시,서구
23,23070,2307051,weekday,21.75,인천광역시,계양구
23,23060,2306060,weekday,21.98,인천광역시,부평구
23,23060,2306066,weekday,20.78,인천광역시,부평구
23,23080,2308062,weekday,28.11,인천광역시,서구
23,23080,2308077,weekday,32.6,인천광역시,서구
23,23070,2307064,weekday,40.01,인천광역시,계양구
23,23310,2331041,weekday,46.26,인천광역시,강화군
23,23070,2307063,weekday,42.25,인천광역시,계양구
23,23030,2303062,weekday,22.18,인천광역시,남구
23,23020,2302060,weekday,22.99,인천광역시,동구
